Date (日期),Ticker (股票代码),Name (名称),Type (类型),Volume (成交量),Signal Strength,Direction (方向),ML_Prob,ML_Detail,Pattern (形态),Daily_J,Weekly_J,Price,ATR,Stop_Loss (止损),Suggested_Shares (建议股数),Position_Size (建议仓位$)
2026-04-21,CRWV,,Stock,17670781,Strong,Short,29.1%,XGB:0.21|LGB:0.17|LR:0.24|N:233|Base:0.32,"Hanging Man (吊颈线), Hanging Man (吊颈线)",84.99,105.71,115.16,7.39,129.94,33,3800
2026-04-21,HOOD,罗宾汉,Stock,36343998,Strong,Short,32.5%,XGB:0.35|LGB:0.19|LR:0.36|N:336|Base:0.34,Doji (十字星),88.17,93.94,86.43,4.82,96.07,51,4407
2026-04-21,META,元宇宙(Facebook),Stock,8588077,Strong,Short,36.2%,XGB:0.33|LGB:0.40|LR:0.30|N:336|Base:0.37,"Doji (十字星), Doji (十字星)",72.55,105.61,668.84,19.32,707.48,12,8026
2026-04-21,MSFT,微软,Stock,31779522,Strong + Div,Short,26.6%,XGB:0.04|LGB:0.08|LR:0.25|N:336|Base:0.34,Doji (十字星),91.8,102.69,424.16,9.73,443.62,25,10604
2026-04-21,MU,美光科技,Stock,26878179,Strong,Short,34.6%,XGB:0.41|LGB:0.41|LR:0.47|N:336|Base:0.32,"Doji (十字星), Hanging Man (吊颈线), Doji (十字星)",68.4,89.32,449.38,25.06,499.5,9,4044
2026-04-21,NVDA,英伟达,Stock,107184703,Strong,Short,26.5%,XGB:0.12|LGB:0.18|LR:0.29|N:336|Base:0.30,Bearish Engulfing (看跌吞没),94.36,108.57,199.88,4.98,209.84,50,9994
2026-04-20,IWM,罗素2000指数ETF,Index ETF,22839069,Strong + Div,Short,36.2%,XGB:0.68|LGB:0.74|LR:0.25|N:333|Base:0.33,Doji (十字星),101.27,111.45,277.35,5.0,287.35,50,13867
2026-04-20,QQQ,纳斯达克100指数ETF,Index ETF,36858900,Strong,Short,25.5%,XGB:0.21|LGB:0.17|LR:0.25|N:335|Base:0.28,"Doji (十字星), Doji (十字星)",98.69,117.54,646.79,10.13,667.05,24,15522
2026-04-20,SOXL,半导体3倍做多ETF,Index ETF,47258615,Strong + Div,Short,36.8%,XGB:0.39|LGB:0.59|LR:0.49|N:334|Base:0.32,Doji (十字星),102.1,113.33,95.94,5.89,107.72,42,4029
2026-04-20,SPY,标普500指数ETF,Index ETF,41604668,Strong,Short,16.5%,XGB:0.02|LGB:0.07|LR:0.20|N:335|Base:0.20,"Doji (十字星), Doji (十字星)",95.73,111.07,708.72,8.89,726.5,28,19844
2026-04-20,AMD,超威半导体,Stock,34150976,Strong,Short,31.3%,XGB:0.23|LGB:0.31|LR:0.41|N:335|Base:0.32,Doji (十字星),87.49,112.88,274.95,10.5,295.95,23,6323
